id,is_slow,start_cpu,start_ms,finish_ms,runtime_ms
33,0,1,21.1074,102.178,81.0704
80,0,2,0.305833,102.192,101.887
124,0,2,1.06633,103.345,102.279
23,0,1,9.08174,103.36,94.2786
66,0,2,0.254248,104.465,104.211
39,0,1,33.0776,104.498,71.4202
111,0,2,0.77947,106.13,105.351
69,0,1,57.0565,106.132,49.0759
77,0,4,0.292135,106.145,105.853
84,0,5,0.654274,106.149,105.495
45,0,3,0.218429,106.176,105.958
67,0,2,0.390955,107.238,106.847
63,0,1,53.0567,107.254,54.1972
79,0,4,0.486688,107.278,106.791
2,0,5,5.06632,107.295,102.228
71,0,3,0.492391,107.351,106.859
92,0,2,0.726782,108.356,107.629
49,0,1,41.0496,108.36,67.3106
60,0,4,0.404286,108.402,107.998
21,0,5,0.286971,108.43,108.143
100,0,3,0.692336,108.507,107.815
107,0,2,0.672612,110.12,109.447
96,0,3,0.716946,110.125,109.408
61,0,4,0.212284,110.126,109.914
59,0,1,13.0512,110.13,97.0789
53,0,5,0.509972,110.133,109.623
93,0,2,0.698938,111.218,110.519
30,0,3,0.410353,111.242,110.832
19,0,4,0.346219,111.253,110.907
115,0,1,49.0509,111.256,62.2046
17,0,5,0.208347,111.274,111.066
105,0,2,0.646592,112.315,111.669
20,0,3,0.272633,112.348,112.075
127,0,1,89.0459,112.361,23.3152
122,0,4,1.06034,112.382,111.321
76,0,5,0.535952,112.384,111.848
43,0,2,0.473595,114.108,113.635
13,0,3,0.298218,114.116,113.817
34,0,1,25.0457,114.119,89.0732
46,0,5,0.399168,114.121,113.722
116,0,4,0.791497,114.123,113.332
31,0,2,0.225753,115.209,114.983
56,0,3,0.547842,115.214,114.666
99,0,1,77.0471,115.237,38.1896
7,0,4,0.110068,115.24,115.13
38,0,5,0.261229,115.252,114.991
81,0,2,0.591953,116.304,115.712
112,0,3,0.797747,116.314,115.517
42,0,4,0.456859,116.338,115.881
78,0,1,61.047,116.342,55.2945
28,0,5,0.312395,116.358,116.045
106,0,4,0.659545,118.113,117.453
64,0,2,0.499731,118.114,117.614
86,0,3,0.665378,118.12,117.454
104,0,1,81.0462,118.123,37.0766
36,0,5,0.233187,118.129,117.896
44,0,4,0.6051,119.203,118.598
74,0,2,0.444093,119.212,118.768
50,0,3,0.519901,119.219,118.699
101,0,5,0.68007,119.228,118.548
87,0,1,69.0469,119.23,50.1829
58,0,4,0.539816,120.295,119.755
14,0,2,0.360134,120.298,119.938
70,0,3,0.24402,120.311,120.067
95,0,5,0.706303,120.326,119.62
85,0,1,65.0463,120.332,55.2859
11,0,3,0.323905,122.107,121.783
108,0,4,0.68447,122.111,121.426
12,0,5,0.339725,122.116,121.776
113,0,1,45.0441,122.119,77.0751
117,0,2,0.621408,122.127,121.506
82,0,3,0.61216,123.205,122.592
8,0,2,0.186118,123.207,123.021
119,0,4,0.633652,123.208,122.574
54,0,5,0.599919,123.214,122.614
35,0,1,29.0436,123.225,94.1811
47,0,2,0.55471,124.302,123.747
89,0,3,0.638748,124.303,123.664
88,0,5,0.732392,124.315,123.583
83,0,4,0.763895,124.321,123.557
29,0,1,17.0565,124.344,107.288
109,0,2,0.804159,125.895,125.09
1,0,1,0.819574,125.929,125.109
25,0,3,0.378526,126.107,125.728
16,0,4,0.372125,126.113,125.741
114,0,5,0.626376,126.116,125.49
68,0,2,0.279546,126.469,126.189
22,0,1,5.06492,126.548,121.484
9,0,2,0.334288,126.929,126.594
15,0,1,1.06539,127.035,125.97
55,0,3,0.573156,127.193,126.62
98,0,4,0.738394,127.207,126.469
103,0,5,0.758896,127.214,126.455
51,0,2,0.527197,127.34,126.812
40,0,1,37.0456,127.496,90.4502
32,0,2,0.417359,127.733,127.316
126,0,1,85.0463,127.941,42.8945
91,0,2,0.750723,128.122,127.372
41,0,3,0.466606,128.299,127.832
26,0,4,0.240524,128.317,128.077
65,0,5,0.48128,128.321,127.84
94,0,1,73.0466,128.374,55.327
6,0,2,0.112005,128.472,128.36
24,0,1,93.043,128.813,35.7702
102,0,3,0.74361,129.46,128.716
75,0,4,0.266347,129.5,129.233
27,0,4,0.430339,129.525,129.095
10,0,4,0.318639,129.93,129.611
121,0,3,0.823665,129.937,129.113
3,0,5,0.136785,130.067,129.93
97,0,4,0.711186,130.345,129.634
110,0,4,0.817545,130.416,129.598
123,0,3,1.05889,130.563,129.505
52,0,4,0.570891,130.736,130.165
120,0,5,0.812529,130.954,130.141
57,0,4,0.512464,131.119,130.606
0,0,3,0.106016,131.127,131.021
4,0,4,0.139848,131.318,131.178
125,0,5,1.0625,131.502,130.44
62,0,3,0.351754,131.547,131.195
37,0,5,0.454175,131.591,131.137
18,0,5,0.367024,131.752,131.384
118,0,5,0.785166,131.914,131.128
72,0,3,0.436555,131.953,131.517
73,0,5,0.425378,132.087,131.662
48,0,5,0.562629,132.311,131.749
90,0,3,0.769818,133.409,132.639
5,1,3,0.189207,276.876,276.687
